dataset,metric,value
AMJD_VALIDACJA_MASTER_AM_validated,rows,28
AMJD_VALIDACJA_MASTER_AM_validated,status_JD.NA,11
AMJD_VALIDACJA_MASTER_AM_validated,status_JD.WARN,17
AMJD_VALIDACJA_MASTER_AM_validated,status_AM.NA,5
AMJD_VALIDACJA_MASTER_AM_validated,status_AM.WARN,2
AMJD_VALIDACJA_MASTER_AM_validated,status_AM.OK,21
AMJD_VALIDACJA_MASTER_AM_validated,max_abs_delta_JD_days,1.0
AMJD_VALIDACJA_MASTER_AM_validated,max_abs_delta_AM_days,3.333465429022908e-06
AMJD_RAW_DATA_MASTERLIKE,rows,36
AMJD_RAW_DATA_MASTERLIKE,status_JD.NA,36
AMJD_RAW_DATA_MASTERLIKE,error_count,30
AMJD_RAW_DATA_MASTERLIKE,max_abs_delta_JD_days,0.0
AMJD_VOLCANO_PROCESSED,rows,14
AMJD_VOLCANO_PROCESSED,delta_status.RANGE,8
AMJD_VOLCANO_PROCESSED,delta_status.OK,5
AMJD_VOLCANO_PROCESSED,delta_status.WARN,1
AMJD_VOLCANO_PROCESSED,date_mode.range_midpoint,8
AMJD_VOLCANO_PROCESSED,date_mode.exact,6
AMJD_VOLCANO_PROCESSED,approx_date_true,8
AMJD_VOLCANO_PROCESSED,error_count,0
AMJD_VOLCANO_PROCESSED,max_abs_delta_JD_days,0.8291666666045785
AMJD_TOPO_VISIBILITY_SOLAR,rows,90
AMJD_TOPO_VISIBILITY_SOLAR,visible_true,0
AMJD_TOPO_VISIBILITY_SOLAR,visible_false,0
AMJD_TOPO_VISIBILITY_SOLAR,classification.NA,90
AMJD_TOPO_VISIBILITY_SOLAR,error_count,90
AMJD_TOPO_VISIBILITY_LUNAR,rows,120
AMJD_TOPO_VISIBILITY_LUNAR,visible_true,0
AMJD_TOPO_VISIBILITY_LUNAR,visible_false,0
AMJD_TOPO_VISIBILITY_LUNAR,classification.NA,120
AMJD_TOPO_VISIBILITY_LUNAR,error_count,120
AMJD_MASTER_GSFC_BATCH6,rows,20
AMJD_VALIDACJA_GSFC_v1,rows,5
