key,label,eclipse_type,JD_UT,site_name,lat_deg,lon_deg,elev_m,visible,classification,sun_alt_deg,sun_az_deg,moon_alt_deg,moon_az_deg,illumination,phase_angle_deg,elongation_deg,error
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Jerusalem,31.78,35.23,800.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Rome,41.9,12.5,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Alexandria,31.2,29.92,5.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Cairo (Fustat),30.03,31.23,23.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Athens,37.98,23.72,70.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Constantinople (Istanbul),41.01,28.97,40.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Antioch (Antakya),36.2,36.16,80.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Damascus,33.51,36.29,680.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Babylon (Hillah),32.54,44.42,30.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Nineveh (Mosul),36.35,43.15,220.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
